,DATE DE CLASSEMENT,TYPOLOGIE ÉTABLISSEMENT,CLASSEMENT,CATÉGORIE,MENTION (villages de vacances),NOM COMMERCIAL,ADRESSE,CODE POSTAL,COMMUNE,SITE INTERNET,TYPE DE SÉJOUR,CAPACITÉ D'ACCUEIL (PERSONNES),NOMBRE DE CHAMBRES,NOMBRE D'EMPLACEMENTS,NOMBRE D'UNITES D'HABITATION (résidences de tourisme),NOMBRE DE LOGEMENTS (villages de vacances),classement prorogé
17715,30/11/2022,PARC RÉSIDENTIEL DE LOISIRS,1 étoile,0,0,PARC RÉSIDENTIEL DE LOISIRS LES TULIPIERS,1 Impasse Richebourg,77230,THIEUX,0,0,90,0,54,0,0,non
17716,26/10/2022,PARC RÉSIDENTIEL DE LOISIRS,4 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS LODGES MEDITERRANÉE,chemin de montilles,34350,VENDRES,https://www.lodgesmediterranee.com/,0,296,0,74,0,0,non
17717,29/04/2022,PARC RÉSIDENTIEL DE LOISIRS,1 étoile,0,0,PARC RÉSIDENTIEL DE LOISIRS SAFARI DE PEAUGRES,Montanet,07340,PEAUGRES,0,0,120,0,20,0,0,non
17718,30/05/2023,PARC RÉSIDENTIEL DE LOISIRS,3 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS SAÔNE VALLEY,2bis rue de la Poterne,70360,TRAVES,0,0,56,0,10,0,0,non
17719,21/06/2021,PARC RÉSIDENTIEL DE LOISIRS,2 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS VILLAGE FLOTTANT DE PRESSAC,Etang du Ponteil,86460,PRESSAC,0,0,57,0,13,0,0,non
17720,30/04/2021,PARC RÉSIDENTIEL DE LOISIRS,3 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS ÉCOUTE LA VIE,La grange aux Prêtres,41360,LUNAY,https://ecoutelavie.com/,0,14,0,3,0,0,non
17721,17/10/2023,HÔTEL DE TOURISME,3 étoiles,0,0,PARIS HOTEL CLICHY,3 RUE POINCARRE,92110,CLICHY,0,0,47,26,0,0,0,non
17722,13/07/2021,HÔTEL DE TOURISME,5 étoiles,0,0,PARIS J'ADORE HÔTEL & SPA,7 rue Beudant,75017,PARIS 17E ARRONDISSEMENT,https://www.hotelparisjadore.com/fr/#home/4,0,56,28,0,0,0,non
17723,13/03/2019,HÔTEL DE TOURISME,3 étoiles,0,0,0,20 RUE DES CALCULOTS,22730,TRÉGASTEL,hotelbellevuetregastel.com,0,63,31,0,0,0,oui
17724,21/03/2022,HÔTEL DE TOURISME,3 étoiles,0,0,PARK HÔTEL CHOLET,4 avenue Anatole Manceau,49300,CHOLET,0,0,201,72,0,0,0,non
